code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
600777,新潮能源,Shandong Xinchao Energy Corporation Limited,3.41,0,3,0,False,2.05,2.12,2.04,2.12,2.05,0.07,3.9,713618.92,149135.785,SH,1.7615,2.29,2.07,4.95,2.05,3.92,2.05,3.41
600782,新钢股份,"Xinyu Iron & Steel Co.,Ltd",5.44,0,2,1,False,4.85,5.11,4.85,5.04,4.78,0.26,5.44,1324722.2,660705.323,SH,4.1544,2.91,4.83,7.92,4.77,9.33,4.65,11.01
600791,京能置业,"Beh-Property Co.,Ltd",0.85,0,3,0,False,3.48,3.57,3.47,3.54,3.51,0.03,2.85,23943.4,8435.559,SH,0.5294,0.9,3.51,3.21,3.48,4.12,3.42,5.36
600792,云煤能源,"Yunnan Coal & Energy Co.,Ltd.",7.49,0,2,1,False,3.35,3.62,3.35,3.59,3.34,0.25,8.08,290283.58,102256.68,SH,2.9324,3.25,3.4,8.79,3.33,15.06,3.23,14.7
600794,保税科技,"Zhangjiagang Freetrade Science & Technology Group Co., Ltd.",0.27,0,2,2,False,3.8,3.8,3.71,3.78,3.77,0.01,2.39,82135.0,30849.65,SH,0.6776,0.63,3.77,0.53,3.78,-1.05,3.82,-5.26
600795,国电电力,"GD Power Development Co.,Ltd.",1.79,0,3,0,False,2.23,2.27,2.22,2.27,2.23,0.04,2.24,495510.43,111765.266,SH,0.2522,1.31,2.24,2.71,2.24,0.89,2.24,-1.3
600801,华新水泥,"Huaxin Cement Co.,Ltd.",10.0,1,3,6,False,20.71,22.44,20.69,22.44,20.4,2.04,8.58,630841.9,1371338.107,SH,4.6321,3.3,21.01,11.42,20.7,14.9,20.14,14.67
600803,新奥股份,"ENN Ecological Holdings Co.,Ltd",2.99,0,2,2,False,10.11,10.43,10.09,10.34,10.04,0.3,3.39,157722.01,162669.468,SH,1.283,2.3,10.07,4.97,10.02,4.02,10.01,3.92
600808,马钢股份,Maanshan Iron & Steel Company Limited,3.35,0,3,1,False,2.7,2.84,2.7,2.78,2.69,0.09,5.2,798982.06,221779.894,SH,1.3388,3.18,2.71,7.34,2.66,7.75,2.61,8.17
600810,神马股份,"ShenMa Industry Co.,Ltd",4.4,0,2,0,False,7.27,7.69,7.21,7.59,7.27,0.32,6.6,123021.91,92189.398,SH,2.1396,3.12,7.35,5.12,7.32,4.26,7.29,5.27
600820,隧道股份,"Shanghai Tunnel Engineering Co.,Ltd.",1.38,0,2,0,False,5.76,5.87,5.75,5.86,5.78,0.08,2.08,98517.06,57517.861,SH,0.3133,1.37,5.79,2.09,5.78,1.91,5.79,0.51
600825,新华传媒,"Shanghai Xinhua Media Co., Ltd.",0.99,0,3,0,False,5.01,5.1,4.96,5.1,5.05,0.05,2.77,76603.17,38557.443,SH,0.7331,0.89,5.04,2.62,5.02,4.51,4.96,3.87
