code,name,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,area,industry,fullname,enname,market,exchange,curr_type,list_status,list_date,delist_date
600136,当代明诚,25.7022,6.5338,1.1275,1.7144,1.7024,48718.2186,48688.2186,23988.483,457464.0727,457182.3727,湖北,影视音像,武汉当代明诚文化体育集团股份有限公司,"WUHAN DDMC CULTURE & SPORTS CO.,LTD.",主板,SSE,CNY,L,19980303,
600137,浪莎股份,46.2055,55.3014,2.6664,3.4765,3.4429,9721.7588,9721.7588,3643.3345,134743.577,134743.577,四川,服饰,四川浪莎控股股份有限公司,Sichuan Langsha Holding Ltd.,主板,SSE,CNY,L,19980416,
600138,中青旅,14.3333,14.3761,1.3042,0.6982,0.6648,72384.0,72384.0,55693.55,856302.72,856302.72,北京,旅游服务,中青旅控股股份有限公司,"China CYTS Tours Holding Co.,Ltd.",主板,SSE,CNY,L,19971203,
600139,西部资源,741.7168,14383.5864,5.5444,11.8338,24.6237,66189.0508,66189.0508,43937.8471,216438.1961,216438.1961,四川,综合类,四川西部资源控股股份有限公司,"Sichuan Western Resources Holding Co., Ltd",主板,SSE,CNY,L,19980225,
600141,兴发集团,22.4689,28.9778,1.1909,0.5062,0.5021,92987.201,71364.6993,48541.3602,903835.5937,693664.8772,湖北,化工原料,湖北兴发化工集团股份有限公司,"Hubei Xingfa Chemicals Group Co.,Ltd",主板,SSE,CNY,L,19990616,
600143,金发科技,26.7242,18.243,1.7549,0.6587,0.6144,257362.2343,241683.7557,174587.4432,1667707.2783,1566110.7369,广东,塑料,金发科技股份有限公司,"Kingfa Sci.&Tech. Co.,Ltd.",主板,SSE,CNY,L,20040623,
600146,商赢环球,,,7.4486,3.1273,5.3974,46997.0,46997.0,31809.0,676286.83,676286.83,宁夏,服饰,商赢环球股份有限公司,"Shangying Global Co., Ltd",主板,SSE,CNY,L,19990707,
600148,长春一东,49.9992,57.4306,4.0647,2.0177,1.9487,14151.645,14151.645,6427.33,179018.3093,179018.3093,吉林,汽车配件,长春一东离合器股份有限公司,"Changchun Yidong Clutch Co.,Ltd",主板,SSE,CNY,L,19980520,
600150,中国船舶,57.2979,101.6228,1.8598,1.6576,1.2707,137811.7598,137811.7598,64788.2235,2803091.1943,2803091.1943,上海,船舶,中国船舶工业股份有限公司,China CSSC Holdings Limited,主板,SSE,CNY,L,19980520,
600151,航天机电,168.2451,40.2217,1.0993,0.9675,0.986,143425.2287,143425.2287,89318.9076,648282.0337,648282.0337,上海,汽车配件,上海航天汽车机电股份有限公司,"Shanghai Aerospace Automobile Electromechanical Co.,Ltd.",主板,SSE,CNY,L,19980605,
600152,维科技术,47.4291,,1.8771,1.6152,1.7032,42092.0087,30027.419,18928.8738,258865.8535,184668.6269,浙江,电气设备,维科技术股份有限公司,"Veken Technology.,Ltd.",主板,SSE,CNY,L,19980609,
600153,建发股份,4.879,4.7696,0.8147,0.0813,0.0741,283520.053,283520.053,153399.7154,2279501.2261,2279501.2261,福建,商贸代理,厦门建发股份有限公司,XIAMEN C&D INC.,主板,SSE,CNY,L,19980616,
600155,华创阳安,136.4075,90.3246,1.3507,140.0259,96.7933,173955.6648,112824.2193,67551.9503,2038760.3915,1322299.8502,北京,证券,华创阳安股份有限公司,"Polaris Bay Group Co.,Ltd.",主板,SSE,CNY,L,19980918,
600156,华升股份,60.2955,73.7872,2.3156,1.6371,1.5395,40211.0702,40211.0702,24000.639,166473.8306,166473.8306,湖南,纺织,湖南华升股份有限公司,"Hunan Huasheng Co.,Ltd",主板,SSE,CNY,L,19980527,
600157,永泰能源,271.4434,107.8963,0.7473,0.8014,0.853,1242579.5326,1242579.5326,674875.675,1789314.5269,1789314.5269,山西,煤炭开采,永泰能源股份有限公司,"Wintime Energy Co.,Ltd.",主板,SSE,CNY,L,19980513,
600158,中体产业,92.8137,107.7579,4.5657,5.3713,5.7007,84373.5373,65749.5392,63028.3673,778767.7493,606868.2468,天津,文教休闲,中体产业集团股份有限公司,"China Sports Industry Group Co.,Ltd",主板,SSE,CNY,L,19980327,
600159,大龙地产,22.6877,15.4427,0.9148,2.3423,2.5008,83000.3232,83000.3232,43408.6677,206670.8048,206670.8048,北京,区域地产,北京市大龙伟业房地产开发股份有限公司,"Beijing Dalong Weiye Real Estate Development Co.,Ltd",主板,SSE,CNY,L,19980526,
600160,巨化股份,8.468,13.111,1.4037,1.1643,1.2158,274516.6103,274516.6103,148394.3112,1822790.2924,1822790.2924,浙江,化工原料,浙江巨化股份有限公司,"Zhejiang Juhua Co.,Ltd",主板,SSE,CNY,L,19980626,
600161,天坛生物,56.1382,49.3327,7.5373,9.758,8.4273,104536.6807,104536.6807,47180.1826,2860123.584,2860123.584,北京,生物制药,北京天坛生物制品股份有限公司,Beijing Tiantan Biological Products Corporation Limited,主板,SSE,CNY,L,19980616,
600162,香江控股,14.8818,14.5844,1.4892,1.8312,1.8948,339578.1424,298025.4559,122314.9982,757259.2576,664596.7667,深圳,全国地产,深圳香江控股股份有限公司,"Shenzhen Heungkong Holding Co.,Ltd",主板,SSE,CNY,L,19980609,
600163,中闽能源,24.9191,26.6917,1.6763,6.1977,5.9723,99946.523,99946.523,44740.334,324826.1998,324826.1998,福建,新型电力,中闽能源股份有限公司,"Zhongmin Energy Co., Ltd.",主板,SSE,CNY,L,19980602,
600165,新日恒力,293.6066,,3.0216,4.9994,8.8859,68488.3775,68488.3775,48488.3775,276008.1613,276008.1613,宁夏,钢加工,宁夏新日恒力钢丝绳股份有限公司,"Ningxia Xinri Hengli Steel Wire Rope Co., Ltd",主板,SSE,CNY,L,19980529,
600166,福田汽车,,,0.8293,0.3059,0.2767,657519.2047,657519.2047,447327.6713,1255861.681,1255861.681,北京,汽车整车,北汽福田汽车股份有限公司,"Beiqi Foton Motor Co.,Ltd.",主板,SSE,CNY,L,19980602,
600167,联美控股,20.3826,16.8038,3.9853,8.8375,7.7271,228811.9475,228811.9475,73643.8514,2683964.1442,2683964.1442,辽宁,供气供热,联美量子股份有限公司,"Luenmei Quantum Co.,Ltd",主板,SSE,CNY,L,19990128,
600168,武汉控股,16.0456,14.7202,0.8671,3.0948,2.8877,70956.9692,70956.9692,28230.26,449157.615,449157.615,湖北,水务,武汉三镇实业控股股份有限公司,"Wuhan Sanzhen Industry Holding Co.,Ltd",主板,SSE,CNY,L,19980427,
600169,太原重工,152.7042,116.1629,1.3842,0.9014,0.7806,256395.5,256395.5,170288.7275,579453.83,579453.83,山西,工程机械,太原重工股份有限公司,"Taiyuan Heavy Industry Co.,Ltd.",主板,SSE,CNY,L,19980904,
600170,上海建工,11.1791,8.4223,1.1997,0.1822,0.1498,890439.7728,848690.9929,496148.0229,3107634.8071,2961931.5652,上海,建筑工程,上海建工集团股份有限公司,"Shanghai Construction Group Co., Ltd.",主板,SSE,CNY,L,19980623,
