,time,price,change,vol,amount,type
0,09:25:04,9.96,0.0,688,685248,卖盘
1,09:30:00,9.9,-0.06,26,25756,卖盘
2,09:30:04,9.85,-0.05,512,506078,卖盘
3,09:30:06,9.85,0.0,12,11839,卖盘
4,09:30:09,9.85,0.0,36,35502,卖盘
5,09:30:12,9.83,-0.02,11,10813,卖盘
6,09:30:15,9.82,-0.01,32,31455,卖盘
7,09:30:18,9.82,0.0,6,5892,卖盘
8,09:30:21,9.83,0.01,65,63895,买盘
9,09:30:24,9.85,0.02,91,89579,买盘
10,09:30:27,9.82,-0.03,159,156350,卖盘
11,09:30:30,9.83,0.01,6,5898,买盘
12,09:30:33,9.9,0.07,252,248262,买盘
13,09:30:36,9.81,-0.09,3,2943,卖盘
14,09:30:39,9.82,0.01,22,21583,买盘
15,09:30:42,9.85,0.03,311,305511,买盘
16,09:30:45,9.81,-0.04,54,52972,买盘
17,09:30:48,9.81,0.0,2,1962,买盘
18,09:30:51,9.81,0.0,11,10791,买盘
19,09:30:54,9.91,0.1,299,294938,买盘
20,09:30:57,9.81,-0.1,43,42228,卖盘
21,09:31:00,9.81,0.0,20,19620,卖盘
22,09:31:04,9.8,-0.01,75,73648,卖盘
23,09:31:06,9.83,0.03,7,6879,买盘
24,09:31:09,9.96,0.13,1453,1446467,买盘
25,09:31:12,9.96,0.0,108,107394,卖盘
26,09:31:15,9.92,-0.04,2,1984,中性盘
27,09:31:19,9.98,0.06,13,12916,买盘
28,09:31:21,9.98,0.0,50,49903,卖盘
29,09:31:24,9.98,0.0,15,14970,卖盘
30,09:31:27,9.98,0.0,45,44910,卖盘
31,09:31:30,9.98,0.0,6,5970,买盘
32,09:31:36,9.87,-0.11,35,34602,卖盘
33,09:31:39,9.88,0.01,32,31616,买盘
34,09:31:42,9.87,-0.01,39,38499,卖盘
35,09:31:45,9.88,0.01,81,80028,买盘
36,09:31:48,9.96,0.08,1,996,卖盘
37,09:31:51,9.88,-0.08,2,1976,卖盘
38,09:31:54,9.88,0.0,98,97125,卖盘
39,09:31:57,9.88,0.0,93,91885,卖盘
40,09:32:00,9.88,0.0,13,12844,卖盘
41,09:32:04,9.88,0.0,20,19760,卖盘
42,09:32:06,9.88,0.0,33,32722,卖盘
43,09:32:09,9.87,-0.01,1,987,中性盘
44,09:32:15,9.86,-0.01,90,88749,卖盘
45,09:32:21,9.86,0.0,122,120295,卖盘
46,09:32:24,9.85,-0.01,71,69947,卖盘
47,09:32:27,9.85,0.0,300,295500,买盘
48,09:32:30,9.83,-0.02,42,41286,卖盘
49,09:32:33,9.82,-0.01,19,18661,卖盘
50,09:32:36,9.82,0.0,30,29460,买盘
51,09:32:39,9.82,0.0,44,43206,买盘
52,09:32:42,9.81,-0.01,37,36332,卖盘
