,time,price,change,vol,amount,type
0,09:25:04,5.2,0.0,195,101400,卖盘
1,09:30:00,5.2,0.0,40,20800,买盘
2,09:30:04,5.2,0.0,309,160693,买盘
3,09:30:06,5.2,0.0,84,43680,卖盘
4,09:30:09,5.21,0.01,52,27050,买盘
5,09:30:12,5.21,0.0,52,27054,买盘
6,09:30:15,5.21,0.0,139,72300,买盘
7,09:30:18,5.2,-0.01,172,89554,卖盘
8,09:30:21,5.21,0.01,2,1041,买盘
9,09:30:24,5.2,-0.01,24,12480,卖盘
10,09:30:27,5.2,0.0,60,31197,买盘
11,09:30:30,5.2,0.0,129,67077,买盘
12,09:30:39,5.19,-0.01,3,1557,卖盘
13,09:30:42,5.2,0.01,9,4679,买盘
14,09:30:45,5.2,0.0,108,56158,买盘
15,09:30:48,5.2,0.0,5,2600,卖盘
16,09:30:51,5.2,0.0,3,1560,卖盘
17,09:30:54,5.2,0.0,500,260000,卖盘
18,09:31:00,5.2,0.0,5,2600,卖盘
19,09:31:04,5.21,0.01,10,5210,买盘
20,09:31:09,5.21,0.0,13,6773,买盘
21,09:31:12,5.21,0.0,15,7815,买盘
22,09:31:15,5.2,-0.01,144,74942,卖盘
23,09:31:19,5.2,0.0,28,14560,买盘
24,09:31:21,5.2,0.0,82,42630,买盘
25,09:31:24,5.21,0.01,36,18734,买盘
26,09:31:27,5.21,0.0,12,6252,买盘
27,09:31:33,5.2,-0.01,145,75406,卖盘
28,09:31:36,5.2,0.0,21,10920,买盘
29,09:31:39,5.2,0.0,4,2080,买盘
30,09:31:42,5.2,0.0,8,4160,买盘
31,09:31:45,5.2,0.0,17,8840,买盘
32,09:31:48,5.2,0.0,5,2600,买盘
33,09:31:51,5.2,0.0,1,520,买盘
34,09:31:54,5.2,0.0,342,177840,买盘
35,09:31:57,5.2,0.0,34,17680,买盘
36,09:32:04,5.2,0.0,1,520,卖盘
37,09:32:06,5.2,0.0,2,1040,卖盘
38,09:32:09,5.2,0.0,1,520,卖盘
39,09:32:12,5.2,0.0,4,2083,卖盘
40,09:32:18,5.2,0.0,42,21840,卖盘
41,09:32:21,5.2,0.0,42,21840,买盘
42,09:32:24,5.2,0.0,1,520,买盘
43,09:32:27,5.19,-0.01,66,34257,卖盘
44,09:32:33,5.2,0.01,10,5195,买盘
45,09:32:36,5.19,-0.01,53,27507,卖盘
46,09:32:39,5.19,0.0,38,19687,买盘
47,09:32:48,5.19,0.0,31,16089,买盘
48,09:32:51,5.18,-0.01,28,14504,卖盘
49,09:32:57,5.18,0.0,9,4662,买盘
50,09:33:09,5.19,0.01,3,1557,买盘
51,09:33:12,5.19,0.0,2,1038,买盘
52,09:33:15,5.18,-0.01,39,20210,卖盘
53,09:33:18,5.18,0.0,10,5180,买盘
54,09:33:21,5.18,0.0,2,1036,买盘
55,09:33:24,5.18,0.0,1,518,买盘
56,09:33:30,5.19,0.01,79,40910,买盘
57,09:33:33,5.18,-0.01,38,19684,卖盘
58,09:33:39,5.19,0.01,3,1557,买盘
59,09:33:48,5.18,-0.01,11,5699,卖盘
60,09:33:54,5.19,0.01,4,2076,买盘
61,09:34:00,5.19,0.0,1,519,买盘
62,09:34:04,5.19,0.0,3,1557,买盘
