,time,price,change,vol,amount,type
0,09:25:04,3.41,0.0,1,341,卖盘
1,09:30:04,3.41,0.0,7,2387,买盘
2,09:30:09,3.41,0.0,7,2387,卖盘
3,09:32:45,3.41,0.0,2,682,卖盘
4,09:33:24,3.41,0.0,74,25234,卖盘
5,09:34:15,3.4,-0.01,8,2720,卖盘
6,09:35:15,3.4,0.0,31,10540,卖盘
7,09:35:39,3.4,0.0,2,680,买盘
8,09:36:51,3.4,0.0,1,340,卖盘
9,09:37:06,3.4,0.0,44,14960,卖盘
10,09:39:45,3.39,-0.01,1,339,卖盘
11,09:39:54,3.39,0.0,13,4407,卖盘
12,09:40:51,3.39,0.0,10,3390,卖盘
13,09:41:06,3.39,0.0,280,94920,卖盘
14,09:42:18,3.39,0.0,90,30510,卖盘
15,09:46:12,3.4,0.01,50,17000,买盘
16,09:46:15,3.39,-0.01,10,3390,卖盘
17,09:46:33,3.39,0.0,3,1017,卖盘
18,09:46:39,3.39,0.0,3,1017,卖盘
19,09:47:42,3.4,0.01,3,1020,买盘
20,09:51:54,3.39,-0.01,751,254589,卖盘
21,09:52:51,3.4,0.01,4,1360,买盘
22,09:53:42,3.4,0.0,50,17000,买盘
23,10:01:15,3.39,-0.01,7,2373,卖盘
24,10:02:04,3.4,0.01,1,340,买盘
25,10:02:45,3.4,0.0,10,3400,买盘
26,10:04:03,3.4,0.0,2,680,买盘
27,10:05:27,3.4,0.0,70,23800,买盘
28,10:06:57,3.4,0.0,22,7480,买盘
29,10:07:18,3.4,0.0,28,9520,卖盘
30,10:12:15,3.39,-0.01,31,10509,卖盘
31,10:16:42,3.39,0.0,57,19323,卖盘
32,10:19:18,3.39,0.0,192,65088,卖盘
33,10:21:09,3.39,0.0,19,6441,卖盘
34,10:23:51,3.4,0.01,1,340,买盘
35,10:28:04,3.4,0.0,69,23460,买盘
36,10:28:45,3.4,0.0,20,6800,卖盘
37,10:39:09,3.4,0.0,1,340,卖盘
38,10:39:21,3.4,0.0,28,9520,卖盘
39,10:41:18,3.41,0.01,22,7502,买盘
40,10:44:45,3.4,-0.01,40,13600,卖盘
41,10:48:18,3.41,0.01,23,7843,买盘
42,10:54:48,3.4,-0.01,77,26180,卖盘
43,11:00:57,3.4,0.0,150,51000,卖盘
44,11:12:57,3.41,0.01,320,109120,买盘
45,11:15:30,3.4,-0.01,162,55080,卖盘
46,11:17:51,3.39,-0.01,9,3051,卖盘
47,11:19:54,3.4,0.01,38,12920,买盘
48,13:00:04,3.4,0.0,8,2720,卖盘
49,13:00:24,3.4,0.0,1,340,卖盘
50,13:03:33,3.4,0.0,19,6460,卖盘
51,13:10:06,3.4,0.0,13,4420,买盘
52,13:10:24,3.4,0.0,10,3400,卖盘
53,13:18:33,3.4,0.0,50,17000,卖盘
54,13:28:57,3.4,0.0,27,9180,卖盘
55,13:29:45,3.4,0.0,100,34000,卖盘
56,13:34:36,3.4,0.0,130,44200,卖盘
57,13:39:54,3.4,0.0,1,340,卖盘
58,13:46:06,3.4,0.0,1,340,卖盘
59,13:48:06,3.4,0.0,10,3400,卖盘
60,13:59:27,3.4,0.0,20,6800,卖盘
61,14:04:18,3.41,0.01,909,309969,买盘
62,14:04:51,3.42,0.01,1,342,买盘
63,14:05:04,3.41,-0.01,20,6820,卖盘
64,14:06:12,3.41,0.0,1,341,卖盘
65,14:06:27,3.41,0.0,100,34100,卖盘
66,14:06:33,3.42,0.01,1,342,买盘
67,14:07:33,3.41,-0.01,5,1705,卖盘
68,14:09:27,3.41,0.0,100,34100,卖盘
69,14:12:30,3.41,0.0,3,1023,卖盘
70,14:14:45,3.41,0.0,50,17050,卖盘
71,14:14:51,3.42,0.01,5,1710,买盘
72,14:15:00,3.41,-0.01,50,17050,卖盘
73,14:16:30,3.41,0.0,162,55244,卖盘
74,14:17:00,3.41,0.0,100,34100,卖盘
75,14:20:48,3.41,0.0,5,1705,卖盘
76,14:21:12,3.41,0.0,100,34100,卖盘
77,14:22:33,3.41,0.0,30,10230,卖盘
78,14:28:06,3.41,0.0,100,34100,卖盘
79,14:28:33,3.41,0.0,1,341,卖盘
80,14:28:51,3.41,0.0,10,3410,卖盘
81,14:31:51,3.41,0.0,100,34100,卖盘
82,14:34:00,3.41,0.0,200,68200,卖盘
83,14:36:33,3.41,0.0,1,341,卖盘
84,14:37:00,3.41,0.0,47,16027,卖盘
85,14:40:36,3.41,0.0,12,4092,卖盘
86,14:41:09,3.41,0.0,2,682,卖盘
87,14:48:15,3.41,0.0,125,42625,卖盘
88,14:48:42,3.41,0.0,30,10230,卖盘
89,14:49:04,3.41,0.0,117,39897,卖盘
90,14:51:00,3.41,0.0,5,1705,买盘
91,14:52:39,3.41,0.0,137,46717,卖盘
92,14:52:54,3.42,0.01,53,18126,买盘
93,14:53:21,3.41,-0.01,35,11935,卖盘
94,14:56:33,3.42,0.01,539,184338,买盘
95,14:56:54,3.42,0.0,152,51984,买盘
96,15:00:04,3.42,0.0,51,17442,卖盘
