,time,price,change,vol,amount,type
0,09:25:04,3.49,-0.01,1106,385994,卖盘
1,09:30:00,3.49,0.0,98,34202,买盘
2,09:30:04,3.49,0.0,1219,425001,买盘
3,09:30:06,3.49,0.0,947,330442,买盘
4,09:30:09,3.48,-0.01,218,75966,卖盘
5,09:30:12,3.49,0.01,13,4537,买盘
6,09:30:15,3.49,0.0,230,80270,买盘
7,09:30:18,3.49,0.0,38,13256,买盘
8,09:30:21,3.49,0.0,75,26166,买盘
9,09:30:24,3.49,0.0,273,95135,卖盘
10,09:30:27,3.49,0.0,10,3490,卖盘
11,09:30:30,3.49,0.0,11,3839,卖盘
12,09:30:33,3.49,0.0,16,5577,买盘
13,09:30:36,3.49,0.0,1,349,买盘
14,09:30:39,3.48,-0.01,31,10788,卖盘
15,09:30:42,3.48,0.0,19,6612,卖盘
16,09:30:45,3.48,0.0,64,22272,卖盘
17,09:30:51,3.49,0.01,6,2094,买盘
18,09:30:54,3.49,0.0,4,1396,买盘
19,09:30:57,3.48,-0.01,500,174000,卖盘
20,09:31:00,3.49,0.01,1,349,买盘
21,09:31:04,3.49,0.0,130,45370,买盘
22,09:31:06,3.49,0.0,43,15007,卖盘
23,09:31:09,3.49,0.0,25,8725,买盘
24,09:31:12,3.49,0.0,87,30363,买盘
25,09:31:15,3.49,0.0,209,72956,买盘
26,09:31:19,3.49,0.0,28,9772,买盘
27,09:31:21,3.5,0.01,81,28301,买盘
28,09:31:24,3.5,0.0,41,14349,买盘
29,09:31:27,3.5,0.0,28,9797,买盘
30,09:31:30,3.5,0.0,50,17495,买盘
31,09:31:33,3.49,-0.01,192,67019,卖盘
32,09:31:36,3.49,0.0,96,33507,买盘
33,09:31:39,3.5,0.01,20,6997,买盘
34,09:31:42,3.5,0.0,8,2797,买盘
35,09:31:45,3.49,-0.01,23,8027,卖盘
36,09:31:48,3.49,0.0,55,19195,卖盘
37,09:31:51,3.49,0.0,63,21987,买盘
38,09:31:54,3.5,0.01,3,1049,买盘
39,09:31:57,3.49,-0.01,133,46428,卖盘
40,09:32:00,3.49,0.0,221,77129,卖盘
41,09:32:04,3.49,0.0,279,97370,买盘
42,09:32:06,3.49,0.0,23,8027,卖盘
43,09:32:09,3.49,0.0,5,1744,买盘
