,time,price,change,vol,amount,type
0,09:25:04,2.95,0.0,78,23010,卖盘
1,09:30:04,2.95,0.0,182,53679,买盘
2,09:30:06,2.95,0.0,41,12101,卖盘
3,09:30:09,2.96,0.01,87,25716,买盘
4,09:30:12,2.95,-0.01,59,17405,卖盘
5,09:30:15,2.96,0.01,1,296,买盘
6,09:30:27,2.96,0.0,86,25440,买盘
7,09:30:30,2.95,-0.01,1,295,卖盘
8,09:30:33,2.95,0.0,20,5904,卖盘
9,09:30:45,2.96,0.01,5,1480,买盘
10,09:30:51,2.96,0.0,90,26640,买盘
11,09:30:54,2.96,0.0,59,17464,买盘
12,09:31:04,2.96,0.0,15,4440,买盘
13,09:31:09,2.96,0.0,50,14800,买盘
14,09:31:15,2.96,0.0,31,9176,买盘
15,09:31:19,2.96,0.0,74,21854,买盘
16,09:31:21,2.96,0.0,1,296,买盘
17,09:31:24,2.96,0.0,3,888,买盘
18,09:31:30,2.95,-0.01,20,5900,卖盘
19,09:31:39,2.95,0.0,87,25665,卖盘
20,09:31:45,2.96,0.01,100,29600,买盘
21,09:31:51,2.96,0.0,156,46176,买盘
22,09:32:04,2.96,0.0,216,63936,买盘
23,09:32:09,2.95,-0.01,3,885,卖盘
24,09:32:12,2.96,0.01,2,592,买盘
25,09:32:15,2.95,-0.01,22,6490,卖盘
26,09:32:30,2.96,0.01,50,14800,买盘
27,09:32:39,2.95,-0.01,28,8260,卖盘
28,09:32:42,2.96,0.01,2,592,买盘
29,09:32:51,2.95,-0.01,1,295,卖盘
30,09:33:00,2.96,0.01,7,2072,买盘
31,09:33:09,2.96,0.0,107,31672,买盘
32,09:33:18,2.95,-0.01,17,5015,卖盘
33,09:33:21,2.96,0.01,8,2368,买盘
34,09:33:24,2.96,0.0,10,2960,买盘
35,09:33:27,2.96,0.0,10,2960,买盘
36,09:33:33,2.96,0.0,6,1776,买盘
37,09:33:51,2.96,0.0,25,7400,买盘
38,09:34:00,2.96,0.0,291,86136,买盘
39,09:34:09,2.96,0.0,2,592,买盘
40,09:34:18,2.96,0.0,37,10952,买盘
41,09:34:52,2.95,-0.01,1,295,卖盘
42,09:35:00,2.96,0.01,108,31961,买盘
43,09:35:06,2.95,-0.01,9,2655,卖盘
44,09:35:18,2.96,0.01,5,1480,买盘
45,09:35:21,2.96,0.0,35,10360,买盘
46,09:35:33,2.96,0.0,12,3552,买盘
47,09:35:39,2.95,-0.01,5,1475,卖盘
48,09:35:42,2.95,0.0,6,1770,卖盘
49,09:35:57,2.95,0.0,1,295,卖盘
50,09:36:00,2.95,0.0,78,23010,卖盘
51,09:36:04,2.95,0.0,46,13570,卖盘
