,time,price,change,vol,amount,type
0,09:25:04,28.65,0.0,20476,58663740,买盘
1,09:30:00,28.61,-0.04,201,575225,卖盘
2,09:30:04,28.6,-0.01,6627,18948259,卖盘
3,09:30:06,28.58,-0.02,718,2053177,卖盘
4,09:30:09,28.56,-0.02,652,1862862,卖盘
5,09:30:12,28.56,0.0,1124,3207849,买盘
6,09:30:15,28.5,-0.06,1014,2890827,卖盘
7,09:30:18,28.51,0.01,195,555824,买盘
8,09:30:21,28.51,0.0,544,1550644,买盘
9,09:30:24,28.51,0.0,1440,4104347,买盘
10,09:30:27,28.5,-0.01,265,755331,卖盘
11,09:30:30,28.5,0.0,866,2468275,卖盘
12,09:30:33,28.51,0.01,1674,4771196,买盘
13,09:30:36,28.5,-0.01,1315,3748947,卖盘
14,09:30:39,28.48,-0.02,137,390372,卖盘
15,09:30:42,28.48,0.0,52,148083,卖盘
16,09:30:45,28.47,-0.01,1029,2931824,中性盘
17,09:30:48,28.46,-0.01,732,2083834,卖盘
18,09:30:51,28.48,0.02,1216,3459434,买盘
19,09:30:54,28.45,-0.03,906,2578252,卖盘
20,09:30:57,28.44,-0.01,419,1191910,卖盘
21,09:31:00,28.45,0.01,322,916037,买盘
22,09:31:04,28.43,-0.02,1242,3533238,卖盘
23,09:31:06,28.43,0.0,579,1646084,卖盘
24,09:31:09,28.42,-0.01,494,1404578,卖盘
25,09:31:12,28.42,0.0,1215,3454181,卖盘
26,09:31:15,28.42,0.0,752,2137332,卖盘
27,09:31:19,28.41,-0.01,135,383740,卖盘
28,09:31:21,28.42,0.01,882,2508094,买盘
29,09:31:24,28.42,0.0,402,1142503,卖盘
30,09:31:27,28.45,0.03,607,1726108,买盘
31,09:31:30,28.45,0.0,771,2192887,买盘
32,09:31:33,28.47,0.02,1085,3087833,买盘
33,09:31:36,28.47,0.0,339,967925,卖盘
34,09:31:39,28.48,0.01,99,282013,中性盘
35,09:31:42,28.46,-0.02,648,1844857,卖盘
36,09:31:45,28.48,0.02,1143,3257828,中性盘
37,09:31:48,28.46,-0.02,137,390098,卖盘
38,09:31:51,28.48,0.02,254,723130,买盘
39,09:31:54,28.46,-0.02,1056,3002216,卖盘
40,09:31:57,28.46,0.0,2563,7298798,买盘
41,09:32:00,28.55,0.09,218,621053,买盘
42,09:32:04,28.56,0.01,376,1071420,买盘
43,09:32:06,28.48,-0.08,233,663480,中性盘
44,09:32:09,28.46,-0.02,1915,5447594,卖盘
45,09:32:12,28.45,-0.01,468,1331578,中性盘
46,09:32:15,28.46,0.01,119,338655,买盘
47,09:32:18,28.5,0.04,133,378668,买盘
48,09:32:21,28.53,0.03,330,939910,买盘
49,09:32:24,28.5,-0.03,2521,7175553,中性盘
50,09:32:27,28.48,-0.02,181,515925,卖盘
51,09:32:30,28.5,0.02,27,76934,买盘
52,09:32:33,28.5,0.0,322,917322,买盘
53,09:32:36,28.5,0.0,1011,2879168,买盘
54,09:32:39,28.47,-0.03,344,979461,卖盘
55,09:32:42,28.48,0.01,139,395834,买盘
56,09:32:45,28.48,0.0,180,512551,卖盘
57,09:32:48,28.5,0.02,693,1974672,买盘
58,09:32:51,28.48,-0.02,457,1302319,卖盘
59,09:32:54,28.5,0.02,72,205226,买盘
60,09:32:57,28.53,0.03,747,2128555,买盘
61,09:33:00,28.48,-0.05,95,270788,卖盘
