,time,price,change,vol,amount,type
0,09:25:04,15.89,0.09,6948,11040372,买盘
1,09:30:00,15.89,0.0,595,944792,买盘
2,09:30:04,15.88,-0.01,2333,3703736,中性盘
3,09:30:06,15.89,0.01,1331,2113626,买盘
4,09:30:09,15.89,0.0,649,1030768,买盘
5,09:30:12,15.87,-0.02,78,123802,卖盘
6,09:30:15,15.86,-0.01,116,184047,卖盘
7,09:30:18,15.85,-0.01,605,959548,卖盘
8,09:30:21,15.85,0.0,142,225095,卖盘
9,09:30:24,15.85,0.0,118,186988,买盘
10,09:30:27,15.86,0.01,582,922425,买盘
11,09:30:30,15.86,0.0,21,33296,买盘
12,09:30:33,15.85,-0.01,56,88773,卖盘
13,09:30:36,15.85,0.0,107,169555,买盘
14,09:30:39,15.84,-0.01,333,527801,卖盘
15,09:30:42,15.83,-0.01,89,140902,卖盘
16,09:30:45,15.82,-0.01,28,44300,卖盘
17,09:30:48,15.83,0.01,409,647244,买盘
18,09:30:51,15.83,0.0,328,519221,买盘
19,09:30:54,15.82,-0.01,37,58533,卖盘
20,09:30:57,15.82,0.0,114,180300,买盘
21,09:31:00,15.81,-0.01,113,178654,卖盘
22,09:31:04,15.82,0.01,10,15820,买盘
23,09:31:06,15.82,0.0,755,1194350,买盘
24,09:31:09,15.83,0.01,491,777473,买盘
25,09:31:12,15.84,0.01,231,365817,买盘
26,09:31:15,15.83,-0.01,150,237461,卖盘
27,09:31:19,15.83,0.0,989,1565587,卖盘
28,09:31:21,15.83,0.0,201,318032,买盘
29,09:31:24,15.83,0.0,1029,1628179,买盘
30,09:31:27,15.83,0.0,157,248417,买盘
31,09:31:30,15.83,0.0,280,443956,买盘
32,09:31:33,15.82,-0.01,151,238962,卖盘
33,09:31:36,15.84,0.02,50,79173,买盘
34,09:31:39,15.83,-0.01,65,102895,卖盘
35,09:31:42,15.84,0.01,121,191663,买盘
36,09:31:45,15.84,0.0,323,511427,买盘
37,09:31:48,15.84,0.0,351,555658,买盘
38,09:31:51,15.83,-0.01,122,193027,中性盘
39,09:31:54,15.83,0.0,570,902926,买盘
40,09:31:57,15.82,-0.01,104,163437,卖盘
41,09:32:00,15.82,0.0,136,215064,买盘
42,09:32:04,15.82,0.0,75,118627,买盘
43,09:32:06,15.82,0.0,246,388932,买盘
44,09:32:09,15.82,0.0,185,292541,买盘
45,09:32:12,15.81,-0.01,53,83781,中性盘
46,09:32:15,15.8,-0.01,110,173825,卖盘
47,09:32:18,15.8,0.0,1068,1687469,卖盘
48,09:32:21,15.79,-0.01,342,540055,卖盘
49,09:32:24,15.79,0.0,137,216191,买盘
50,09:32:27,15.78,-0.01,325,513275,卖盘
51,09:32:30,15.79,0.01,57,89973,卖盘
52,09:32:33,15.78,-0.01,31,48929,卖盘
53,09:32:36,15.79,0.01,167,263533,买盘
54,09:32:39,15.79,0.0,55,86795,买盘
55,09:32:42,15.79,0.0,28,44193,买盘
56,09:32:45,15.78,-0.01,9,14206,卖盘
57,09:32:48,15.79,0.01,619,977271,买盘
58,09:32:51,15.78,-0.01,53,83655,买盘
59,09:32:54,15.78,0.0,91,143667,卖盘
60,09:32:57,15.78,0.0,50,78900,买盘
61,09:33:00,15.78,0.0,140,220922,卖盘
62,09:33:04,15.78,0.0,98,154646,卖盘
63,09:33:06,15.78,0.0,167,263526,买盘
64,09:33:09,15.78,0.0,239,377147,卖盘
65,09:33:12,15.78,0.0,12,18936,买盘
66,09:33:15,15.77,-0.01,394,621391,卖盘
67,09:33:18,15.78,0.01,496,782572,买盘
68,09:33:21,15.78,0.0,129,203653,卖盘
69,09:33:24,15.78,0.0,91,143598,卖盘
70,09:33:27,15.78,0.0,662,1044817,买盘
71,09:33:30,15.78,0.0,53,83634,买盘
72,09:33:33,15.78,0.0,472,744494,卖盘
73,09:33:36,15.79,0.01,114,180001,买盘
74,09:33:39,15.79,0.0,116,183164,卖盘
75,09:33:42,15.79,0.0,59,93127,卖盘
76,09:33:45,15.79,0.0,33,52087,买盘
77,09:33:48,15.78,-0.01,99,156314,卖盘
78,09:33:51,15.79,0.01,190,299896,买盘
79,09:33:54,15.79,0.0,27,42614,买盘
80,09:33:57,15.77,-0.02,125,197294,卖盘
81,09:34:00,15.78,0.01,292,461031,卖盘
82,09:34:04,15.79,0.01,70,110507,买盘
83,09:34:06,15.79,0.0,79,124736,买盘
84,09:34:09,15.78,-0.01,189,298292,卖盘
85,09:34:12,15.79,0.01,261,412204,买盘
86,09:34:15,15.8,0.01,58,91630,买盘
87,09:34:18,15.79,-0.01,253,399341,卖盘
88,09:34:21,15.79,0.0,177,279651,买盘
89,09:34:24,15.79,0.0,1,1579,卖盘
90,09:34:27,15.79,0.0,191,301589,卖盘
91,09:34:30,15.79,0.0,109,172111,买盘
92,09:34:33,15.78,-0.01,94,148370,卖盘
93,09:34:36,15.79,0.01,208,328302,买盘
94,09:34:39,15.79,0.0,49,77365,买盘
95,09:34:42,15.78,-0.01,86,135749,卖盘
96,09:34:45,15.78,0.0,94,148342,卖盘
97,09:34:48,15.78,0.0,163,257214,卖盘
98,09:34:51,15.78,0.0,61,96258,买盘
99,09:34:54,15.78,0.0,12,18936,卖盘
100,09:34:57,15.78,0.0,85,134130,买盘
101,09:35:00,15.78,0.0,71,112028,买盘
102,09:35:04,15.78,0.0,146,230296,买盘
103,09:35:06,15.78,0.0,39,61542,买盘
104,09:35:09,15.78,0.0,411,648182,买盘
105,09:35:12,15.79,0.01,281,443430,买盘
106,09:35:15,15.79,0.0,53,83681,买盘
107,09:35:18,15.78,-0.01,26,41028,卖盘
108,09:35:21,15.79,0.01,182,288258,买盘
109,09:35:24,15.78,-0.01,90,142020,卖盘
110,09:35:27,15.79,0.01,244,385266,买盘
111,09:35:30,15.79,0.0,107,168953,卖盘
112,09:35:33,15.79,0.0,21,33159,卖盘
113,09:35:36,15.79,0.0,49,77370,买盘
114,09:35:39,15.78,-0.01,27,42623,卖盘
115,09:35:42,15.79,0.01,308,486246,买盘
116,09:35:45,15.78,-0.01,79,124717,卖盘
117,09:35:48,15.78,0.0,56,88407,卖盘
118,09:35:51,15.78,0.0,602,949960,卖盘
119,09:35:54,15.77,-0.01,55,86761,卖盘
120,09:35:57,15.77,0.0,1176,1854623,卖盘
121,09:36:00,15.78,0.01,28,44184,中性盘
122,09:36:04,15.77,-0.01,472,744781,卖盘
123,09:36:06,15.78,0.01,45,70638,买盘
124,09:36:09,15.77,-0.01,38,59926,卖盘
125,09:36:12,15.76,-0.01,52,81993,卖盘
126,09:36:15,15.77,0.01,64,100914,买盘
127,09:36:18,15.76,-0.01,23,36270,卖盘
128,09:36:21,15.76,0.0,59,93000,卖盘
129,09:36:24,15.76,0.0,213,335838,卖盘
130,09:36:27,15.76,0.0,12,18922,卖盘
131,09:36:30,15.76,0.0,62,97719,卖盘
132,09:36:33,15.76,0.0,288,453991,卖盘
133,09:36:36,15.77,0.01,70,110360,中性盘
134,09:36:39,15.77,0.0,10,15770,卖盘
135,09:36:42,15.77,0.0,96,151392,中性盘
136,09:36:45,15.76,-0.01,63,99308,卖盘
137,09:36:48,15.76,0.0,32,50434,卖盘
138,09:36:51,15.76,0.0,81,127670,卖盘
139,09:36:54,15.76,0.0,133,209610,卖盘
140,09:36:57,15.76,0.0,498,784848,卖盘
141,09:37:00,15.76,0.0,37,58312,买盘
142,09:37:04,15.75,-0.01,84,132350,卖盘
143,09:37:06,15.76,0.01,36,56726,买盘
144,09:37:09,15.75,-0.01,59,92954,卖盘
145,09:37:12,15.75,0.0,170,267859,卖盘
146,09:37:15,15.75,0.0,188,296100,卖盘
147,09:37:18,15.76,0.01,228,359160,买盘
148,09:37:21,15.76,0.0,171,269343,买盘
149,09:37:24,15.75,-0.01,65,102380,卖盘
150,09:37:27,15.75,0.0,38,59852,卖盘
151,09:37:30,15.75,0.0,473,744975,卖盘
152,09:37:33,15.75,0.0,342,538653,卖盘
153,09:37:36,15.75,0.0,1027,1618044,卖盘
154,09:37:39,15.76,0.01,75,118199,卖盘
155,09:37:42,15.75,-0.01,154,242707,卖盘
156,09:37:45,15.75,0.0,76,119670,买盘
157,09:37:48,15.75,0.0,182,286542,买盘
158,09:37:51,15.75,0.0,8,12598,买盘
159,09:37:54,15.74,-0.01,2069,3252143,卖盘
160,09:37:57,15.75,0.01,62,97650,买盘
161,09:38:00,15.74,-0.01,14,22036,卖盘
162,09:38:04,15.74,0.0,50,78711,卖盘
163,09:38:06,15.74,0.0,152,239264,卖盘
164,09:38:09,15.73,-0.01,7,11012,卖盘
165,09:38:12,15.73,0.0,9,14159,中性盘
166,09:38:15,15.73,0.0,107,168206,中性盘
167,09:38:18,15.72,-0.01,124,195025,卖盘
168,09:38:21,15.73,0.01,70,110138,中性盘
169,09:38:24,15.72,-0.01,105,165074,卖盘
170,09:38:27,15.73,0.01,277,435733,买盘
171,09:38:30,15.73,0.0,252,396399,卖盘
172,09:38:33,15.73,0.0,32,50366,卖盘
173,09:38:36,15.73,0.0,192,302016,卖盘
174,09:38:39,15.72,-0.01,146,229633,卖盘
175,09:38:42,15.73,0.01,150,235950,中性盘
176,09:38:45,15.72,-0.01,16,25152,卖盘
177,09:38:48,15.72,0.0,32,50313,卖盘
178,09:38:51,15.72,0.0,258,405725,卖盘
